id,total_spots,enrolled_students,location,schedule,period,number,teacher_id,subject_code
58,100,0,ICC BT 620,2N1234,2022.1,1,38,CEM0015
59,100,0,ICC BT 620,4N1234,2022.1,2,38,CEM0015
60,10,0,SG 10 - Núcleo de dança - Sala B,3T45,2022.1,1,39,CEM0018
61,10,0,SG 10 - Núcleo de dança - Sala B,3N12,2022.1,3,40,CEM0018
62,10,0,SG 10 - Núcleo de dança - Sala B,5N12,2022.1,4,40,CEM0018
63,10,0,SG 10 - Núcleo de dança - Sala B,2N12,2022.1,6,39,CEM0018
64,10,0,SG 10 - Núcleo de dança - Sala B,3T23,2022.1,8,39,CEM0018
65,40,0,ICC BT 504,4N1234,2022.1,1,41,CEM0021
66,40,0,ICC BT 504,4N1234,2022.1,1,42,CEM0021
67,40,0,ICC BT 504,4N1234,2022.1,1,43,CEM0021
70,20,0,BSA N A1 07/19,5N1234,2022.1,1,46,CEM0043
71,40,0,PJC BT 132,6M1234,2022.1,1,47,CEM0047
72,40,0,PJC BT 132,6M1234,2022.1,1,48,CEM0047
73,40,0,PJC BT 132,6M1234,2022.1,1,30,CEM0047
74,40,0,PJC BT 132,6M1234,2022.1,1,33,CEM0047
75,600,0,ICC ANF. 14,7M1234,2022.1,1,49,CEM0051
76,600,0,ICC ANF. 14,7M1234,2022.1,1,50,CEM0051
77,600,0,ICC ANF. 14,7M1234,2022.1,1,51,CEM0051
78,600,0,ICC ANF. 14,7M1234,2022.1,1,52,CEM0051
79,600,0,ICC ANF. 14,7M1234,2022.1,1,53,CEM0051
80,600,0,ICC ANF. 14,7M1234,2022.1,1,54,CEM0051
81,600,0,ICC ANF. 14,7M1234,2022.1,1,55,CEM0051
82,600,0,ICC ANF. 14,7M1234,2022.1,1,56,CEM0051
83,600,0,ICC ANF. 14,7M1234,2022.1,1,57,CEM0051
84,600,0,ICC ANF. 14,7M1234,2022.1,1,58,CEM0051
85,600,0,ICC ANF. 14,7M1234,2022.1,1,59,CEM0051
86,20,0,PAT AT 020,35T45,2022.1,1,60,CEM0054
87,30,0,ICC ANF. 3,5N1234,2022.1,1,61,CEM0058
88,30,0,ICC ANF. 3,5N1234,2022.1,1,62,CEM0058
89,60,0,ICC BT 143,6M1234,2022.1,1,63,CEM0067
90,60,0,ICC BT 143,6M1234,2022.1,1,64,CEM0067
91,60,0,ICC BT 143,6M1234,2022.1,1,65,CEM0067
92,50,0,PAT AT 133,5N1234,2022.1,1,66,CEM0097
93,40,0,ICC AT 118/7,2M1234,2022.1,1,28,CEM0110
94,40,0,ICC AT 118/7,2M1234,2022.1,1,33,CEM0110
95,45,0,PJC BT 148,5N1234 (06/06/2022 - 24/09/2022),2022.1,1,67,CEM0125
96,30,0,ICC AT 163/8,6M12 (06/06/2022 - 24/09/2022),2022.1,1,68,CEM0126
97,40,0,PJC BT 092,24T45,2022.1,1,69,CEM0129
98,40,0,ICC ANF 02,35T45 (06/06/2022 - 24/09/2022),2022.1,1,70,CEM0131
99,50,0,PJC BT 005 (50),6N1 (06/06/2022 - 24/09/2022),2022.1,1,71,CEM0132
100,50,0,PJC BT 005 (50),6N1 (06/06/2022 - 24/09/2022),2022.1,1,72,CEM0132
101,40,0,PJC BT 020,6T45,2022.1,1,73,CEM0239
102,20,0,ICC ANF. 2,4M1234 (06/06/2022 - 24/09/2022),2022.1,1,74,CBH0002
103,10,0,"Centro UnB Cerrado, Alto Paraíso de Goiás",7M1234 (06/06/2022 - 24/09/2022),2022.1,1,75,CER0002
104,10,0,"Centro UnB Cerrado, Alto Paraíso de Goiás",7T1234 (06/06/2022 - 24/09/2022),2022.1,4,75,CER0002
105,10,0,"Centro UnB Cerrado, Alto Paraíso de Goiás",7T1234 (06/06/2022 - 24/09/2022),2022.1,4,76,CER0002
106,3,0,Local à definir.,7M12 6N34 (17/01/2022 - 05/05/2022),2022.1,1,77,DEG0229
107,3,0,Local à definir.,6N1234 (17/01/2022 - 05/05/2022),2022.1,2,78,DEG0229
108,15,2,Local à definir.,25N12 (17/01/2022 - 05/05/2022),2022.1,3,79,DEG0229
109,15,2,Local à definir.,25N12 (17/01/2022 - 05/05/2022),2022.1,3,80,DEG0229
110,2,0,Mesma sala que a disciplina 311065.,235M34,2022.1,1,81,DPG0022
111,1,0,A definir,4M1234,2022.1,1,82,DPG0229
112,1,0,a definir,5M1234,2022.1,1,83,DPG0308
113,1,0,A definir,24T6 24N1,2022.1,1,84,DPG0421
114,1,0,A definir,6T45,2022.1,1,85,DPG0568
115,1,0,A definir,2T6 2N123,2022.1,1,86,DPG0660
116,1,0,Mesma sala que a disciplina 315648.,24T45,2022.1,1,87,DPG0675
117,1,0,a definir,35T45,2022.1,1,88,DPG0849
118,1,0,A definir,3M234,2022.1,1,89,DPG0928
119,1,0,A definir,4M1234,2022.1,1,90,DPG0942
120,1,0,A definir,2M1234,2022.1,1,91,DPG1040
121,1,0,A definir,24T45 6T4,2022.1,1,92,DPG1046
122,1,0,A definir,5M345 6M34,2022.1,1,93,DPG1165
123,1,0,A definir,2T2345,2022.1,2,94,DPG1229
124,1,0,Mesma sala que a disciplina 317799.,24T23,2022.1,1,95,DPG1230
125,1,0,A definir,2T2345,2022.1,1,96,DPG1231
126,2,0,Turma espelho de pós-graduação: 395668.,24M34,2022.1,1,97,DPG1232
127,1,0,A definir,4M234,2022.1,1,98,DPG1233
128,1,0,A definir,6M1234,2022.1,1,99,DPG1237
129,40,0,ICC AT 097/8,4N1234,2022.1,1,100,DEX1102
130,40,0,ICC AT 097/8,4N1234,2022.1,1,101,DEX1102
131,20,0,"Memorial Darcy Ribeiro, sala 05 (cinco)",6M1234,2022.1,1,102,DEX1104
132,19,0,"Memorial Darcy Ribeiro, sala 04 (quatro)",5T2345,2022.1,2,47,DEX1108
133,19,0,"Memorial Darcy Ribeiro, sala 04 (quatro)",5T2345,2022.1,2,103,DEX1108
134,19,0,"Memorial Darcy Ribeiro, sala 04 (quatro)",5T2345,2022.1,2,104,DEX1108
135,19,0,"Memorial Darcy Ribeiro, sala 04 (quatro)",5T2345,2022.1,2,33,DEX1108
136,33,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",5M1234,2022.1,1,105,DAP0008
137,35,0,"FAC -ICC Norte,bloco A,Mezanino- Sl12 Lab. Mult.I",4T2345,2022.1,1,106,DAP0011
138,39,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 05",6M1234,2022.1,1,105,DAP0021
139,31,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",2M34,2022.1,1,107,DAP0030
140,31,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",6M1234,2022.1,1,108,DAP0042
141,31,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",6M1234,2022.1,1,109,DAP0042
142,35,0,Local à definir.,6M12,2022.1,1,107,DAP0044
143,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",6M12,2022.1,1,110,DAP0055
144,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",2M1234,2022.1,1,111,DAP0060
145,40,0,"FAC -ICC Norte, bloco A, Mezanino - Sala 12",5M1234,2022.1,1,112,DAP0067
146,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",5M12,2022.1,1,110,DAP0076
147,21,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",35T23,2022.1,1,113,DAP0079
148,31,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",35M34,2022.1,2,113,DAP0079
149,40,0,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",6M1234,2022.1,1,114,DAP0084
150,40,0,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",5M1234,2022.1,2,114,DAP0084
151,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",4M34,2022.1,1,115,DAP0093
152,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",4M34,2022.1,1,108,DAP0093
153,38,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",4M12,2022.1,1,116,DAP0096
154,20,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",4M34,2022.1,2,116,DAP0096
155,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",2T23,2022.1,3,116,DAP0096
156,25,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",4N12,2022.1,4,117,DAP0096
157,31,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",2T45,2022.1,5,117,DAP0096
158,35,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",5T23,2022.1,1,118,DAP0098
159,36,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",2T23,2022.1,2,118,DAP0098
160,20,0,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",2T2345,2022.1,1,110,DAP0100
161,22,0,"FAC -ICC Norte, Mezanino, Térreo - Lab. Jornalismo",3T2345,2022.1,1,106,DAP0101
162,23,0,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",5T2345,2022.1,2,119,DAP0101
163,23,0,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",5T2345,2022.1,2,120,DAP0101
164,23,0,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",5T2345,2022.1,2,121,DAP0101
165,34,0,"FAC -ICC Norte, bloco A, Mezanino - Sala 12",3M1234,2022.1,1,112,DAP0103
166,40,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 13",4M1234,2022.1,1,122,DAP0104
167,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",3M34,2022.1,1,123,DAP0105
168,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",2M34,2022.1,1,115,DAP0107
169,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",2M34,2022.1,1,108,DAP0107
170,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",2M12,2022.1,1,124,DAP0108
171,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",4M1234,2022.1,1,125,DAP0110
172,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",5M34,2022.1,1,125,DAP0111
173,22,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",3T2345,2022.1,1,126,DAP0115
174,22,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",3T2345,2022.1,1,115,DAP0115
175,6,0,A definir,7M12345 7T1,2022.1,2,105,DAP0116
176,4,0,A definir,7M12345 7T1,2022.1,3,122,DAP0116
177,5,0,A definir,7M345 7T123,2022.1,6,110,DAP0116
178,4,0,A definir,236T23,2022.1,7,119,DAP0116
179,4,0,A definir,7M12345 7T1,2022.1,8,125,DAP0116
180,4,0,A definir,246N12,2022.1,9,108,DAP0116
181,4,0,A definir,6T45 7T2345,2022.1,10,123,DAP0116
182,31,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",3T23 5T45,2022.1,1,124,DAP0117
183,23,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",3T45 5T23,2022.1,1,124,DAP0118
184,25,0,"FAC - ICC Norte, Bloco A, Térreo - Estúdio B",6M1234,2022.1,1,127,DAP0120
185,35,0,Local à definir.,4M12 2T2345,2022.1,1,128,DAP0123
186,32,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",4M1234,2022.1,1,111,DAP0124
187,26,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",35M34,2022.1,1,121,DAP0125
188,35,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",2M1234,2022.1,1,128,DAP0126
189,15,0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",3456M1234,2022.1,1,129,DAP0128
190,15,0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",3456M1234,2022.1,1,119,DAP0128
191,15,0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",3456M1234,2022.1,2,130,DAP0128
192,15,0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",3456M1234,2022.1,2,129,DAP0128
193,25,0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",5M1234,2022.1,1,130,DAP0130
194,25,0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",5M1234,2022.1,1,120,DAP0130
195,25,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",3M1234,2022.1,2,131,DAP0130
196,25,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",3M1234,2022.1,2,120,DAP0130
197,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",6T2345,2022.1,1,132,DAP0143
198,18,0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",4M1234,2022.1,5,118,DAP0143
199,11,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",2T2345,2022.1,3,105,DAP0145
200,5,0,"FAC -ICC Norte,Bloco A,Mezanio - Sala 13",3T2345,2022.1,4,133,DAP0145
201,30,0,"FAC - ICC Norte, Bloco A, Térreo - Estúdio B",4M1234,2022.1,1,123,DAP0149
202,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",3M34,2022.1,1,108,DAP0154
203,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",3M34,2022.1,1,109,DAP0154
204,30,0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",2M1234,2022.1,1,125,DAP0158
205,5,0,A definir,7M12345 7T1,2022.1,1,130,DAP0159
206,4,0,A definir,7M1234 7T23,2022.1,2,121,DAP0159
207,6,0,Local à definir.,7M1234 7T23,2022.1,3,128,DAP0159
208,4,0,A definir,7M12345 7T1,2022.1,5,111,DAP0159
209,4,0,A definir,234M5 234T1,2022.1,8,119,DAP0159
210,4,0,A definir,7M12345 7T1,2022.1,13,106,DAP0159
211,4,0,A definir,7T23456 7N1,2022.1,14,124,DAP0159
212,4,0,A definir,7M12345 7T1,2022.1,15,134,DAP0159
213,4,0,A definir,7T23456 7N1,2022.1,16,125,DAP0159
214,4,0,A definir,7T23456 7N1,2022.1,17,135,DAP0159
215,4,0,A definir,7M12345 7T1,2022.1,18,136,DAP0159
216,4,0,A definir,7M12345 7T1,2022.1,20,137,DAP0159
217,4,0,A definir,7M12345 7T1,2022.1,23,127,DAP0159
218,4,0,A definir,7M12345 7T1,2022.1,24,113,DAP0159
219,4,0,A definir,7M12345 7T1,2022.1,25,118,DAP0159
220,4,0,A definir,7T23456 7N1,2022.1,26,138,DAP0159
221,4,0,A definir,7T23456 7N1,2022.1,27,133,DAP0159
222,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",6M34,2022.1,1,139,DAP0164
223,35,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",3T2345,2022.1,1,140,DAP0170
224,26,0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",3M34,2022.1,1,116,DAP0171
225,35,0,Local à definir.,3M12 5M12,2022.1,1,107,DAP0172
226,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",6M34,2022.1,1,125,DAP0174
227,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",5M1234,2022.1,1,123,DAP0175
228,30,0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",3M1234,2022.1,1,125,DAP0176
229,15,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 3",5T2345 7T23,2022.1,1,131,COM0006
230,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 7",7M12 35T56,2022.1,2,141,COM0007
231,30,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 4",3N1234,2022.1,1,142,COM0009
232,30,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 9",2T2345,2022.1,1,143,COM0010
233,50,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 13",3N1234,2022.1,1,144,COM0127
234,50,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 12",5N1234,2022.1,1,145,COM0128
235,50,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 13",6N1234,2022.1,1,146,COM0129
236,50,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 13",2N1234,2022.1,1,147,COM0130
237,50,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 13",4N1234,2022.1,1,141,COM0131
238,40,0,"FAC- ICC Norte, Bloco A, Estúdio B",4N1234,2022.1,1,145,COM0132
239,40,0,"FAC- ICC Norte, Bloco A, Estúdio B",4N1234,2022.1,1,137,COM0132
240,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 4",5N1234,2022.1,1,147,COM0133
241,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 7",6N1234,2022.1,1,148,COM0134
242,40,0,"FAC- ICC Norte, Bloco A, Estúdio B",2N1234,2022.1,1,117,COM0135
243,40,0,"FAC- ICC Norte, Bloco A, Estúdio B",3N1234,2022.1,1,149,COM0136
244,40,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 13",5N1234,2022.1,1,148,COM0137
245,43,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 12",3N1234,2022.1,1,137,COM0138
246,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 7",4N1234,2022.1,1,149,COM0139
247,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 7",2N1234,2022.1,1,141,COM0140
248,20,0,"FAC- ICC Norte, Bloco A, Lab. Jornalismo",2N1234,2022.1,1,150,COM0141
249,20,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 4",4N1234,2022.1,2,150,COM0141
250,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 2",6N1234,2022.1,1,151,COM0142
251,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 2",6N1234,2022.1,1,143,COM0142
252,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 7",3N1234,2022.1,1,152,COM0143
253,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 7",5N1234,2022.1,1,153,COM0144
254,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 2",3N1234,2022.1,1,146,COM0145
255,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 1",4N1234,2022.1,1,151,COM0146
256,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 1",4N1234,2022.1,1,143,COM0146
257,43,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 12",26N1234,2022.1,1,139,COM0147
258,43,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 12",26N1234,2022.1,1,154,COM0147
259,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 5",3N1234,2022.1,1,145,COM0148
260,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 5",3N1234,2022.1,1,151,COM0148
261,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 5",2N1234,2022.1,1,155,COM0149
262,45,0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 12",4N1234,2022.1,1,136,COM0150
263,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 2",5N1234,2022.1,1,143,COM0151
264,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 2",5N1234,2022.1,1,151,COM0151
265,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 5",456N1234,2022.1,1,136,COM0152
266,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 5",456N1234,2022.1,1,153,COM0152
267,40,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 5",456N1234,2022.1,1,144,COM0152
268,25,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 1",3N1234,2022.1,1,155,COM0153
269,25,0,"FAC- ICC Norte, Bloco A, Térreo - Sala 1",2N1234,2022.1,2,152,COM0153
270,30,0,"CSS-384/34 (Mód. 15, Mesa 40)",4T2345,2022.1,1,156,DIN0003
271,25,0,"CSS-384/34 (Mód. 15, Mesa 40)",5T2345,2022.1,1,157,DIN0004
272,30,0,"CSS-382/43 (Mód. 15, Mesa 30)",2M1234,2022.1,1,158,DIN0011
273,30,0,"CSS-384/34 (Mód. 15, Mesa 40)",5M1234,2022.1,1,159,DIN0012
274,19,0,"CSS-382/43 (Mód. 15, Mesa 30)",4T2345,2022.1,1,159,DIN0013
275,25,0,"CSS-382/43 (Mód. 15, Mesa 30)",35T23,2022.1,1,32,DIN0020
276,25,0,"CSS-384/34 (Mód. 15, Mesa 40)",3M1234,2022.1,1,160,DIN0023
277,26,0,"CSS-384/34 (Mód. 15, Mesa 40)",6M1234,2022.1,1,161,DIN0034
278,38,0,"CSS-384/34 (Mód. 15, Mesa 40)",2T123456,2022.1,1,162,DIN0037
279,5,0,CSS-456/32 (Mód. 18),2T123456,2022.1,1,163,DIN0039
280,12,0,CSS-456/32 (Mód. 18),2T123456,2022.1,1,164,DIN0040
281,20,0,"CSS-382/43 (Mód. 15, Mesa 30)",35M345,2022.1,1,158,DIN0041
282,22,0,"CSS-384/34 (Mód. 15, Mesa 40)",4M12345 4T1,2022.1,1,164,DIN0042
283,8,0,"CSS-382/43 (Mód. 15, Mesa 30)",6M12345 6T1,2022.1,1,165,DIN0043
284,8,0,"CSS-382/43 (Mód. 15, Mesa 30)",6M12345 6T1,2022.1,1,160,DIN0043
285,5,0,CSS-456/32 (Mód. 18),3M12345 3T1,2022.1,1,161,DIN0044
286,25,0,"CSS-382/43 (Mód. 15, Mesa 30)",24M345,2022.1,1,165,DIN0045
287,25,0,"CSS-382/43 (Mód. 15, Mesa 30)",24M345,2022.1,1,162,DIN0045
288,29,0,"CSS-384/34 (Mód. 15, Mesa 40)",24M12,2022.1,1,163,DIN0046
289,26,0,"CSS-382/43 (Mód. 15, Mesa 30)",2T2345,2022.1,1,157,DIN0047
290,30,0,"CSS-382/43 (Mód. 15, Mesa 30)",35M12,2022.1,1,164,DIN0049
291,28,0,"CSS-384/34 (Mód. 15, Mesa 40)",6T123456,2022.1,1,157,DIN0050
292,6,0,"SG-11, NMI",5M12345 5T1,2022.1,1,166,DIN0051
293,13,0,"SG-11, NMI",5M12345 5T1,2022.1,1,167,DIN0052
294,13,0,"SG-11, NMI",5M12345 5T1,2022.1,1,168,DIN0052
295,4,0,"Multiuso I, LabJóia",3T23,2022.1,1,169,DIN0059
296,5,0,"CSS-456/32 (Mód. 18, Lab. Interface)",6M34,2022.1,2,170,DIN0059
297,5,0,"CSS-456/32 (Mód. 18, Lab. Interface)",6M34,2022.1,2,170,DIN0061
298,4,0,"Multiuso I, LabJóia",3T23,2022.1,3,169,DIN0061
299,4,0,"Multiuso I, LabJóia",3T23,2022.1,1,169,DIN0063
300,5,0,"CSS-456/32 (Mód. 18, Lab. Interface)",6M34,2022.1,2,170,DIN0063
301,5,0,"CSS-456/32 (Mód. 18, Lab. Interface)",6M34,2022.1,2,170,DIN0065
302,3,0,"Multiuso I, LabJóia",3T23,2022.1,3,169,DIN0065
303,6,0,"CSS - 456/32, LABINTERFACE",4T2345,2022.1,1,167,DIN0112
