turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
1,2022.1,Thiago Sebastiano De Melo,3M12,0,40.0,CET - Módulo D (Lab. Eventos e Gastronomia),CET0055,314
1,2022.1,Luiz Fernando Macedo Bessa,5N1234 6N12 (20/01/2022 - 18/03/2022),0,30.0,Local à definir.,CEM0005,650
1,2022.1,João Luiz Homem De Carvalho,3N12,0,40.0,BSA N AT 60/41,CEM0005,650
1,2022.1,Mario Lima Brasil,7M1234 4N12 (22/01/2022 - 26/03/2022),0,30.0,Local à definir.,CEM0007,650
1,2022.1,Hilton Pereira Da Silva,3T2345,0,30.0,AUDITÓRIO BSA N A1 22/4,CEM0007,650
1,2022.1,Celia Kinuko Matsunaga Higawa,7M1234 4N12 (22/01/2022 - 26/03/2022),0,30.0,Local à definir.,CEM0007,650
1,2022.1,Marisa Cobbe Maass,7M1234 4N12 (22/01/2022 - 26/03/2022),0,30.0,Local à definir.,CEM0007,650
1,2022.1,Manoel Pereira De Andrade,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30.0,a designar,CEM0008,650
1,2022.1,Felício De Araújo Pontes Junior,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30.0,a designar,CEM0008,650
1,2022.1,Ela Wiecko Volkmer De Castilho,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30.0,a designar,CEM0008,650
1,2022.1,Gilney Amorim Viana,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",0,30.0,a designar,CEM0008,650
1,2022.1,Guillermo Jose Asper Y Valdes,4M12,0,15.0,BSAS BT 11/10,CEM0009,650
1,2022.1,Murilo Silva De Camargo,2N1234,0,100.0,ICC BT 620,CEM0015,650
2,2022.1,Murilo Silva De Camargo,4N1234,0,100.0,ICC BT 620,CEM0015,650
1,2022.1,Nadir Hilger,3T45,0,10.0,SG 10 - Núcleo de dança - Sala B,CEM0018,650
3,2022.1,Viviane De Melo Resende,3N12,0,10.0,SG 10 - Núcleo de dança - Sala B,CEM0018,650
4,2022.1,Viviane De Melo Resende,5N12,0,10.0,SG 10 - Núcleo de dança - Sala B,CEM0018,650
6,2022.1,Nadir Hilger,2N12,0,10.0,SG 10 - Núcleo de dança - Sala B,CEM0018,650
8,2022.1,Nadir Hilger,3T23,0,10.0,SG 10 - Núcleo de dança - Sala B,CEM0018,650
1,2022.1,Silvia Badim Marques,4N1234,0,40.0,ICC BT 504,CEM0021,650
1,2022.1,Lucas Brito De Lima,4N1234,0,40.0,ICC BT 504,CEM0021,650
1,2022.1,Tony Gigliotti Bezerra,4N1234,0,40.0,ICC BT 504,CEM0021,650
1,2022.1,Patricia Cristina Da Silva Pinheiro,,154,,,CEM0030,650
1,2022.1,Celi Nelza Zulke Taffarel,,154,,,CEM0030,650
1,2022.1,Adalberto De Salles Lima,5N1234,0,20.0,BSA N A1 07/19,CEM0043,650
1,2022.1,Enaile Do Espirito Santo Iadanza,6M1234,0,40.0,PJC BT 132,CEM0047,650
1,2022.1,Magno Antonio Matamoros Burgos,6M1234,0,40.0,PJC BT 132,CEM0047,650
1,2022.1,Hilton Pereira Da Silva,6M1234,0,40.0,PJC BT 132,CEM0047,650
1,2022.1,Manoel Pereira De Andrade,6M1234,0,40.0,PJC BT 132,CEM0047,650
1,2022.1,Tayane Medeiros De Oliveira,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Cassio Murilo Alves Costa,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Jonatas De Franca Barros,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Raul Luís De Melo Dusi,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Isaias Nery Ferreira,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Jackeline Neres Bellucci,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Andre Ribeiro Da Silva,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Felipe Silva Bellucci,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Jitone Leonidas Soares,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Andrea De Oliveira Goncalves,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Alessandra Lisboa Da Silva,7M1234,0,600.0,ICC ANF. 14,CEM0051,650
1,2022.1,Fernando Paiva Scardua,35T45,0,20.0,PAT AT 020,CEM0054,650
1,2022.1,Assis Da Costa Oliveira,5N1234,0,30.0,ICC ANF. 3,CEM0058,650
1,2022.1,Marcia Guedes Vieira,5N1234,0,30.0,ICC ANF. 3,CEM0058,650
1,2022.1,Romulo Guilherme Ferreira Da Silva,6M1234,0,60.0,ICC BT 143,CEM0067,650
1,2022.1,Rafaela Rocha Feijó,6M1234,0,60.0,ICC BT 143,CEM0067,650
1,2022.1,Paulo Ramos Coelho Filho,6M1234,0,60.0,ICC BT 143,CEM0067,650
1,2022.1,Vannessa Alves Carneiro,5N1234,0,50.0,PAT AT 133,CEM0097,650
1,2022.1,João Luiz Homem De Carvalho,2M1234,0,40.0,ICC AT 118/7,CEM0110,650
1,2022.1,Manoel Pereira De Andrade,2M1234,0,40.0,ICC AT 118/7,CEM0110,650
1,2022.1,Renata Melo Barbosa Do Nascimento,5N1234 (06/06/2022 - 24/09/2022),0,45.0,PJC BT 148,CEM0125,650
1,2022.1,Tatiane Dos Santos Duarte,6M12 (06/06/2022 - 24/09/2022),0,30.0,ICC AT 163/8,CEM0126,650
1,2022.1,Maria Carmen Aires Gomes,24T45,0,40.0,PJC BT 092,CEM0129,650
1,2022.1,Marjorie Nogueira Chaves,35T45 (06/06/2022 - 24/09/2022),0,40.0,ICC ANF 02,CEM0131,650
1,2022.1,Clarice Aparecida Dos Santos,6N1 (06/06/2022 - 24/09/2022),0,50.0,PJC BT 005 (50),CEM0132,650
1,2022.1,Luis Antonio Pasquetti,6N1 (06/06/2022 - 24/09/2022),0,50.0,PJC BT 005 (50),CEM0132,650
1,2022.1,Herivelto Pereira De Souza,6T45,0,40.0,PJC BT 020,CEM0239,650
1,2022.1,Monique Teresinha Pyrrho De Souza Silva,4M1234 (06/06/2022 - 24/09/2022),0,20.0,ICC ANF. 2,CBH0002,1448
1,2022.1,Maria Fernanda Nince Ferreira,7M1234 (06/06/2022 - 24/09/2022),0,10.0,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,677
4,2022.1,Maria Fernanda Nince Ferreira,7T1234 (06/06/2022 - 24/09/2022),0,10.0,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,677
4,2022.1,Maria Julia Martins Silva,7T1234 (06/06/2022 - 24/09/2022),0,10.0,"Centro UnB Cerrado, Alto Paraíso de Goiás",CER0002,677
1,2022.1,Lucas Alves De Brito Oliveira,7M12 6N34 (17/01/2022 - 05/05/2022),0,3.0,Local à definir.,DEG0229,130
2,2022.1,Barbara Evelline Da Silva Bandeira,6N1234 (17/01/2022 - 05/05/2022),0,3.0,Local à definir.,DEG0229,130
3,2022.1,Alexandre Bernardino Costa,25N12 (17/01/2022 - 05/05/2022),2,15.0,Local à definir.,DEG0229,130
3,2022.1,Perci Coelho De Souza,25N12 (17/01/2022 - 05/05/2022),2,15.0,Local à definir.,DEG0229,130
1,2022.1,Pedro Henrique De Oliveira Neto,235M34,0,2.0,Mesma sala que a disciplina 311065.,DPG0022,170
1,2022.1,Nilson Francisquini Botelho,4M1234,0,1.0,A definir,DPG0229,170
1,2022.1,Regina Dalcastagne,5M1234,0,1.0,a definir,DPG0308,170
1,2022.1,Jose Alfredo Ruiz Vargas,24T6 24N1,0,1.0,A definir,DPG0421,170
1,2022.1,Asdrubal Borges Formiga Sobrinho,6T45,0,1.0,A definir,DPG0568,170
1,2022.1,Gardenia Da Silva Abbad,2T6 2N123,0,1.0,A definir,DPG0660,170
1,2022.1,Thais Carvalho Valadares Rodrigues,24T45,0,1.0,Mesma sala que a disciplina 315648.,DPG0675,170
1,2022.1,Fabio Comes De Castro,35T45,0,1.0,a definir,DPG0849,170
1,2022.1,Marina Maria Silva Magalhaes,3M234,0,1.0,A definir,DPG0928,170
1,2022.1,Jake Carvalho Do Carmo,4M1234,0,1.0,A definir,DPG0942,170
1,2022.1,Silvia Claudia Loureiro Dias,2M1234,0,1.0,A definir,DPG1040,170
1,2022.1,Theo Allan Darn Zapata,24T45 6T4,0,1.0,A definir,DPG1046,170
1,2022.1,Raimundo De Araujo Bastos Junior,5M345 6M34,0,1.0,A definir,DPG1165,170
2,2022.1,Claudia Marcia Lyra Pato,2T2345,0,1.0,A definir,DPG1229,170
1,2022.1,Jorlandio Francisco Felix,24T23,0,1.0,Mesma sala que a disciplina 317799.,DPG1230,170
1,2022.1,Pedro Henrique Antunes Da Costa,2T2345,0,1.0,A definir,DPG1231,170
1,2022.1,Carla Tatiana Mota Anflor,24M34,0,2.0,Turma espelho de pós-graduação: 395668.,DPG1232,170
1,2022.1,Thiago Costa Chacon,4M234,0,1.0,A definir,DPG1233,170
1,2022.1,Eugenio Liborio Feitosa Fortaleza,6M1234,0,1.0,A definir,DPG1237,170
1,2022.1,Carlos Vinicius Da Silva Mendes,4N1234,0,40.0,ICC AT 097/8,DEX1102,158
1,2022.1,Danielle Soares Gomes,4N1234,0,40.0,ICC AT 097/8,DEX1102,158
1,2022.1,Alexandre Simoes Pilati,6M1234,0,20.0,"Memorial Darcy Ribeiro, sala 05 (cinco)",DEX1104,158
2,2022.1,Enaile Do Espirito Santo Iadanza,5T2345,0,19.0,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
2,2022.1,Ricardo Tezini Minoti,5T2345,0,19.0,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
2,2022.1,Evelyn Jeniffer De Lima Toledo,5T2345,0,19.0,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
2,2022.1,Manoel Pereira De Andrade,5T2345,0,19.0,"Memorial Darcy Ribeiro, sala 04 (quatro)",DEX1108,158
1,2022.1,Pablo Goncalo Pires De Campos Martins,5M1234,0,33.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",DAP0008,351
1,2022.1,Isabela Lara Oliveira,4T2345,0,35.0,"FAC -ICC Norte,bloco A,Mezanino- Sl12 Lab. Mult.I",DAP0011,351
1,2022.1,Pablo Goncalo Pires De Campos Martins,6M1234,0,39.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 05",DAP0021,351
1,2022.1,Edmundo Brandao Dantas,2M34,0,31.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0030,351
1,2022.1,Camila Dutervil Moliterno Franco,6M1234,0,31.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0042,351
1,2022.1,Raquel Pacheco Mello Cunha,6M1234,0,31.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0042,351
1,2022.1,Edmundo Brandao Dantas,6M12,0,35.0,Local à definir.,DAP0044,351
1,2022.1,Emilia Silveira Silberstein,6M12,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0055,351
1,2022.1,Suelen Brandes Marques Valente,2M1234,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0060,351
1,2022.1,Joao Batista Lanari Bo,5M1234,0,40.0,"FAC -ICC Norte, bloco A, Mezanino - Sala 12",DAP0067,351
1,2022.1,Emilia Silveira Silberstein,5M12,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0076,351
1,2022.1,Eduardo Bentes Monteiro,35T23,0,21.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0079,351
2,2022.1,Eduardo Bentes Monteiro,35M34,0,31.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0079,351
1,2022.1,Wladimir Ganzelevitch Gramacho,6M1234,0,40.0,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",DAP0084,351
2,2022.1,Wladimir Ganzelevitch Gramacho,5M1234,0,40.0,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",DAP0084,351
1,2022.1,Denise Moraes Cavalcante,4M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",DAP0093,351
1,2022.1,Camila Dutervil Moliterno Franco,4M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",DAP0093,351
1,2022.1,Armando Bulcao,4M12,0,38.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0096,351
2,2022.1,Armando Bulcao,4M34,0,20.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0096,351
3,2022.1,Armando Bulcao,2T23,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0096,351
4,2022.1,Carlos Henrique Novis,4N12,0,25.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0096,351
5,2022.1,Carlos Henrique Novis,2T45,0,31.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0096,351
1,2022.1,Renata Alves De Albuquerque Othon,5T23,0,35.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0098,351
2,2022.1,Renata Alves De Albuquerque Othon,2T23,0,36.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0098,351
1,2022.1,Emilia Silveira Silberstein,2T2345,0,20.0,"FAC -ICC Norte, bloco A, Mezanino - Sala 13",DAP0100,351
1,2022.1,Isabela Lara Oliveira,3T2345,0,22.0,"FAC -ICC Norte, Mezanino, Térreo - Lab. Jornalismo",DAP0101,351
2,2022.1,Luciano Mendes De Souza,5T2345,0,23.0,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",DAP0101,351
2,2022.1,Priscila Monteiro Borges,5T2345,0,23.0,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",DAP0101,351
2,2022.1,Rafael Dietzsch,5T2345,0,23.0,"FAC -ICC Norte, bloco A, Mezanino- Lab. Jornalismo",DAP0101,351
1,2022.1,Joao Batista Lanari Bo,3M1234,0,34.0,"FAC -ICC Norte, bloco A, Mezanino - Sala 12",DAP0103,351
1,2022.1,Mariana Souto De Melo Silva,4M1234,0,40.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 13",DAP0104,351
1,2022.1,Mauro Giuntini Viana,3M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0105,351
1,2022.1,Denise Moraes Cavalcante,2M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0107,351
1,2022.1,Camila Dutervil Moliterno Franco,2M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0107,351
1,2022.1,Sergio Ribeiro De Aguiar Santos,2M12,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0108,351
1,2022.1,Mauricio Gomes Da Silva Fonteles,4M1234,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0110,351
1,2022.1,Mauricio Gomes Da Silva Fonteles,5M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0111,351
1,2022.1,Rose May Carneiro,3T2345,0,22.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0115,351
1,2022.1,Denise Moraes Cavalcante,3T2345,0,22.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0115,351
2,2022.1,Pablo Goncalo Pires De Campos Martins,7M12345 7T1,0,6.0,A definir,DAP0116,351
3,2022.1,Mariana Souto De Melo Silva,7M12345 7T1,0,4.0,A definir,DAP0116,351
6,2022.1,Emilia Silveira Silberstein,7M345 7T123,0,5.0,A definir,DAP0116,351
7,2022.1,Luciano Mendes De Souza,236T23,0,4.0,A definir,DAP0116,351
8,2022.1,Mauricio Gomes Da Silva Fonteles,7M12345 7T1,0,4.0,A definir,DAP0116,351
9,2022.1,Camila Dutervil Moliterno Franco,246N12,0,4.0,A definir,DAP0116,351
10,2022.1,Mauro Giuntini Viana,6T45 7T2345,0,4.0,A definir,DAP0116,351
1,2022.1,Sergio Ribeiro De Aguiar Santos,3T23 5T45,0,31.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0117,351
1,2022.1,Sergio Ribeiro De Aguiar Santos,3T45 5T23,0,23.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0118,351
1,2022.1,Marcelo Feijo Rocha Lima,6M1234,0,25.0,"FAC - ICC Norte, Bloco A, Térreo - Estúdio B",DAP0120,351
1,2022.1,Maria Fernanda Dangelo Valentim,4M12 2T2345,0,35.0,Local à definir.,DAP0123,351
1,2022.1,Suelen Brandes Marques Valente,4M1234,0,32.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 07",DAP0124,351
1,2022.1,Rafael Dietzsch,35M34,0,26.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0125,351
1,2022.1,Maria Fernanda Dangelo Valentim,2M1234,0,35.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 06",DAP0126,351
1,2022.1,Beatriz Beraldo Batista,3456M1234,0,15.0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
1,2022.1,Luciano Mendes De Souza,3456M1234,0,15.0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
2,2022.1,Carina Luisa Ochi Flexor,3456M1234,0,15.0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
2,2022.1,Beatriz Beraldo Batista,3456M1234,0,15.0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0128,351
1,2022.1,Carina Luisa Ochi Flexor,5M1234,0,25.0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",DAP0130,351
1,2022.1,Priscila Monteiro Borges,5M1234,0,25.0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",DAP0130,351
2,2022.1,Dione Oliveira Moura,3M1234,0,25.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",DAP0130,351
2,2022.1,Priscila Monteiro Borges,3M1234,0,25.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 04",DAP0130,351
1,2022.1,Norlan Souza Da Silva,6T2345,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0143,351
5,2022.1,Renata Alves De Albuquerque Othon,4M1234,0,18.0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",DAP0143,351
3,2022.1,Pablo Goncalo Pires De Campos Martins,2T2345,0,11.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 01",DAP0145,351
4,2022.1,Susana Madeira Dobal Jordan,3T2345,0,5.0,"FAC -ICC Norte,Bloco A,Mezanio - Sala 13",DAP0145,351
1,2022.1,Mauro Giuntini Viana,4M1234,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Estúdio B",DAP0149,351
1,2022.1,Camila Dutervil Moliterno Franco,3M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0154,351
1,2022.1,Raquel Pacheco Mello Cunha,3M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0154,351
1,2022.1,Mauricio Gomes Da Silva Fonteles,2M1234,0,30.0,"FAC -ICC Norte, Bloco A,Mezanio - Lab.Publicidade",DAP0158,351
1,2022.1,Carina Luisa Ochi Flexor,7M12345 7T1,0,5.0,A definir,DAP0159,351
2,2022.1,Rafael Dietzsch,7M1234 7T23,0,4.0,A definir,DAP0159,351
3,2022.1,Maria Fernanda Dangelo Valentim,7M1234 7T23,0,6.0,Local à definir.,DAP0159,351
5,2022.1,Suelen Brandes Marques Valente,7M12345 7T1,0,4.0,A definir,DAP0159,351
8,2022.1,Luciano Mendes De Souza,234M5 234T1,0,4.0,A definir,DAP0159,351
13,2022.1,Isabela Lara Oliveira,7M12345 7T1,0,4.0,A definir,DAP0159,351
14,2022.1,Sergio Ribeiro De Aguiar Santos,7T23456 7N1,0,4.0,A definir,DAP0159,351
15,2022.1,Fernando Oliveira Paulino,7M12345 7T1,0,4.0,A definir,DAP0159,351
16,2022.1,Mauricio Gomes Da Silva Fonteles,7T23456 7N1,0,4.0,A definir,DAP0159,351
17,2022.1,Thais De Mendonca Jorge,7T23456 7N1,0,4.0,A definir,DAP0159,351
18,2022.1,Fernanda Casagrande Martinelli Lima Granja Xavier Da Silva,7M12345 7T1,0,4.0,A definir,DAP0159,351
20,2022.1,Gabriela Pereira De Freitas,7M12345 7T1,0,4.0,A definir,DAP0159,351
23,2022.1,Marcelo Feijo Rocha Lima,7M12345 7T1,0,4.0,A definir,DAP0159,351
24,2022.1,Eduardo Bentes Monteiro,7M12345 7T1,0,4.0,A definir,DAP0159,351
25,2022.1,Renata Alves De Albuquerque Othon,7M12345 7T1,0,4.0,A definir,DAP0159,351
26,2022.1,Gustavo De Castro Da Silva,7T23456 7N1,0,4.0,A definir,DAP0159,351
27,2022.1,Susana Madeira Dobal Jordan,7T23456 7N1,0,4.0,A definir,DAP0159,351
1,2022.1,Gisele Pimenta De Oliveira,6M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0164,351
1,2022.1,Luciane Fassarella Agnez,3T2345,0,35.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 08",DAP0170,351
1,2022.1,Armando Bulcao,3M34,0,26.0,"FAC -ICC Norte,Bloco A,Mezanio - Lab.Multimídia II",DAP0171,351
1,2022.1,Edmundo Brandao Dantas,3M12 5M12,0,35.0,Local à definir.,DAP0172,351
1,2022.1,Mauricio Gomes Da Silva Fonteles,6M34,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0174,351
1,2022.1,Mauro Giuntini Viana,5M1234,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 02",DAP0175,351
1,2022.1,Mauricio Gomes Da Silva Fonteles,3M1234,0,30.0,"FAC - ICC Norte, Bloco A, Térreo - Sala 11",DAP0176,351
1,2022.1,Dione Oliveira Moura,5T2345 7T23,0,15.0,"FAC- ICC Norte, Bloco A, Térreo - Sala 3",COM0006,345
2,2022.1,Elen Cristina Geraldes,7M12 35T56,0,40.0,"FAC- ICC Norte, Bloco A, Térreo - Sala 7",COM0007,345
1,2022.1,Kelly Tatiane Martins Quirino,3N1234,0,30.0,"FAC- ICC Norte, Bloco A, Térreo - Sala 4",COM0009,345
1,2022.1,Sivaldo Pereira Da Silva,2T2345,0,30.0,"FAC- ICC Norte, Bloco A, Térreo - Sala 9",COM0010,345
1,2022.1,Fabiola Orlando Calazans Machado,3N1234,0,50.0,"FAC- ICC Norte, Bloco A, Mezanino - Sala 13",COM0127,345
